,ID,DATE,CURRENCY,PX_LAST
0,USDIDR10B1M Curncy,2021-01-25,,1.1925
1,USDIDR10B1M Curncy,2021-01-26,,1.15
2,USDIDR10B1M Curncy,2021-01-27,,1.19
3,USDIDR10B1M Curncy,2021-01-28,,1.15
4,USDIDR10B1M Curncy,2021-01-29,,1.015
5,USDIDR10B1M Curncy,2021-01-30,,1.015
6,USDIDR10B1M Curncy,2021-01-31,,1.02
7,USDIDR10B1M Curncy,2021-02-01,,1.005
8,USDIDR10B1M Curncy,2021-02-02,,1.04
9,USDIDR10B1M Curncy,2021-02-03,,1.02
10,USDIDR10B1M Curncy,2021-02-04,,1.01
11,USDIDR10B1M Curncy,2021-02-05,,1.01
12,USDIDR10B1M Curncy,2021-02-06,,1.01
13,USDIDR10B1M Curncy,2021-02-07,,1.01
14,USDIDR10B1M Curncy,2021-02-08,,0.995
15,USDIDR10B1M Curncy,2021-02-09,,1.0
16,USDIDR10B1M Curncy,2021-02-10,,0.995
17,USDIDR10B1M Curncy,2021-02-11,,1.005
18,USDIDR10B1M Curncy,2021-02-12,,1.02
19,USDIDR10B1M Curncy,2021-02-13,,1.02
20,USDIDR10B1M Curncy,2021-02-14,,1.0
21,USDIDR10B1M Curncy,2021-02-15,,0.99
22,USDIDR10B1M Curncy,2021-02-16,,0.975
23,USDIDR10B1M Curncy,2021-02-17,,0.99
24,USDIDR10B1M Curncy,2021-02-18,,1.0
25,USDIDR10B1M Curncy,2021-02-19,,1.015
26,USDIDR10B1M Curncy,2021-02-20,,1.015
27,USDIDR10B1M Curncy,2021-02-21,,0.995
28,USDIDR10B1M Curncy,2021-02-22,,1.015
29,USDIDR10B1M Curncy,2021-02-23,,1.02
30,USDIDR10B1M Curncy,2021-02-24,,0.995
31,USDIDR10B1M Curncy,2021-02-25,,1.0
32,USDIDR10B1M Curncy,2021-02-26,,1.1
33,USDIDR10B1M Curncy,2021-02-27,,1.1
34,USDIDR10B1M Curncy,2021-02-28,,1.0575
35,USDIDR10B1M Curncy,2021-03-01,,1.065
36,USDIDR10B1M Curncy,2021-03-02,,0.995
37,USDIDR10B1M Curncy,2021-03-03,,1.0
38,USDIDR10B1M Curncy,2021-03-04,,0.99
39,USDIDR10B1M Curncy,2021-03-05,,1.01
40,USDIDR10B1M Curncy,2021-03-06,,1.01
41,USDIDR10B1M Curncy,2021-03-07,,0.985
42,USDIDR10B1M Curncy,2021-03-08,,1.055
43,USDIDR10B1M Curncy,2021-03-09,,1.02
44,USDIDR10B1M Curncy,2021-03-10,,1.06
45,USDIDR10B1M Curncy,2021-03-11,,1.01
46,USDIDR10B1M Curncy,2021-03-12,,1.025
47,USDIDR10B1M Curncy,2021-03-13,,1.025
