ID,DATE,CURRENCY,PX_LAST
GTJPY10Y Govt,2021-01-25,,0.036
GTJPY10Y Govt,2021-01-26,,0.028
GTJPY10Y Govt,2021-01-27,,0.037
GTJPY10Y Govt,2021-01-28,,0.036
GTJPY10Y Govt,2021-01-29,,0.049
GTJPY10Y Govt,2021-01-30,,0.049
GTJPY10Y Govt,2021-01-31,,0.049
GTJPY10Y Govt,2021-02-01,,0.055
GTJPY10Y Govt,2021-02-02,,0.049
GTJPY10Y Govt,2021-02-03,,0.054
GTJPY10Y Govt,2021-02-04,,0.055
GTJPY10Y Govt,2021-02-05,,0.054
GTJPY10Y Govt,2021-02-06,,0.054
GTJPY10Y Govt,2021-02-07,,0.054
GTJPY10Y Govt,2021-02-08,,0.066
GTJPY10Y Govt,2021-02-09,,0.068
GTJPY10Y Govt,2021-02-10,,0.078
GTJPY10Y Govt,2021-02-11,,0.078
GTJPY10Y Govt,2021-02-12,,0.064
GTJPY10Y Govt,2021-02-13,,0.064
GTJPY10Y Govt,2021-02-14,,0.064
GTJPY10Y Govt,2021-02-15,,0.077
GTJPY10Y Govt,2021-02-16,,0.079
GTJPY10Y Govt,2021-02-17,,0.095
GTJPY10Y Govt,2021-02-18,,0.092
GTJPY10Y Govt,2021-02-19,,0.105
GTJPY10Y Govt,2021-02-20,,0.105
GTJPY10Y Govt,2021-02-21,,0.105
GTJPY10Y Govt,2021-02-22,,0.12
GTJPY10Y Govt,2021-02-23,,0.12
GTJPY10Y Govt,2021-02-24,,0.122
GTJPY10Y Govt,2021-02-25,,0.146
GTJPY10Y Govt,2021-02-26,,0.156
GTJPY10Y Govt,2021-02-27,,0.156
GTJPY10Y Govt,2021-02-28,,0.156
GTJPY10Y Govt,2021-03-01,,0.15
GTJPY10Y Govt,2021-03-02,,0.123
GTJPY10Y Govt,2021-03-03,,0.114
GTJPY10Y Govt,2021-03-04,,0.128
GTJPY10Y Govt,2021-03-05,,0.088
GTJPY10Y Govt,2021-03-06,,0.088
GTJPY10Y Govt,2021-03-07,,0.088
GTJPY10Y Govt,2021-03-08,,0.118
GTJPY10Y Govt,2021-03-09,,0.121
GTJPY10Y Govt,2021-03-10,,0.124
GTJPY10Y Govt,2021-03-11,,0.097
GTJPY10Y Govt,2021-03-12,,0.118
GTJPY10Y Govt,2021-03-13,,0.118
GTJPY10Y Govt,2021-03-14,,0.118
GTJPY10Y Govt,2021-03-15,,0.106
GTJPY10Y Govt,2021-03-16,,0.1
