ID,DATE,CURRENCY,PX_LAST
MEXBOL Index,2021-01-25,MXN,45126.52
MEXBOL Index,2021-01-26,MXN,45053.56
MEXBOL Index,2021-01-27,MXN,44262.01
MEXBOL Index,2021-01-28,MXN,44280.73
MEXBOL Index,2021-01-29,MXN,42985.73
MEXBOL Index,2021-01-30,MXN,42985.73
MEXBOL Index,2021-01-31,MXN,42985.73
MEXBOL Index,2021-02-01,MXN,42985.73
MEXBOL Index,2021-02-02,MXN,43848.92
MEXBOL Index,2021-02-03,MXN,43957.07
MEXBOL Index,2021-02-04,MXN,44167.58
MEXBOL Index,2021-02-05,MXN,44145.7
MEXBOL Index,2021-02-06,MXN,44145.7
MEXBOL Index,2021-02-07,MXN,44145.7
MEXBOL Index,2021-02-08,MXN,44197.51
MEXBOL Index,2021-02-09,MXN,45020.96
MEXBOL Index,2021-02-10,MXN,44718.23
MEXBOL Index,2021-02-11,MXN,44060.09
MEXBOL Index,2021-02-12,MXN,44202.52
MEXBOL Index,2021-02-13,MXN,44202.52
MEXBOL Index,2021-02-14,MXN,44202.52
MEXBOL Index,2021-02-15,MXN,44157.49
MEXBOL Index,2021-02-16,MXN,44698.59
MEXBOL Index,2021-02-17,MXN,45061.95
MEXBOL Index,2021-02-18,MXN,44507.95
MEXBOL Index,2021-02-19,MXN,44900.08
MEXBOL Index,2021-02-20,MXN,44900.08
MEXBOL Index,2021-02-21,MXN,44900.08
MEXBOL Index,2021-02-22,MXN,44946.61
MEXBOL Index,2021-02-23,MXN,45268.33
MEXBOL Index,2021-02-24,MXN,45151.38
MEXBOL Index,2021-02-25,MXN,44310.27
MEXBOL Index,2021-02-26,MXN,44592.91
MEXBOL Index,2021-02-27,MXN,44592.91
MEXBOL Index,2021-02-28,MXN,44592.91
MEXBOL Index,2021-03-01,MXN,44784.58
MEXBOL Index,2021-03-02,MXN,45682.19
MEXBOL Index,2021-03-03,MXN,46377.47
MEXBOL Index,2021-03-04,MXN,46004.19
MEXBOL Index,2021-03-05,MXN,46342.54
MEXBOL Index,2021-03-06,MXN,46342.54
MEXBOL Index,2021-03-07,MXN,46342.54
MEXBOL Index,2021-03-08,MXN,47075.41
MEXBOL Index,2021-03-09,MXN,47103.6
MEXBOL Index,2021-03-10,MXN,47549.67
MEXBOL Index,2021-03-11,MXN,47673.82
MEXBOL Index,2021-03-12,MXN,47769.87
MEXBOL Index,2021-03-13,MXN,47769.87
MEXBOL Index,2021-03-14,MXN,47769.87
MEXBOL Index,2021-03-15,MXN,47769.87
MEXBOL Index,2021-03-16,MXN,48203.95
MEXBOL Index,2021-03-17,MXN,47679.49
MEXBOL Index,2021-03-18,MXN,47572.39
MEXBOL Index,2021-03-19,MXN,47028.04
MEXBOL Index,2021-03-20,MXN,47028.04
MEXBOL Index,2021-03-21,MXN,47028.04
MEXBOL Index,2021-03-22,MXN,47225.45
MEXBOL Index,2021-03-23,MXN,46659.18
MEXBOL Index,2021-03-24,MXN,46703.14
MEXBOL Index,2021-03-25,MXN,47012.37
MEXBOL Index,2021-03-26,MXN,47379.19
MEXBOL Index,2021-03-27,MXN,47379.19
MEXBOL Index,2021-03-28,MXN,47379.19
MEXBOL Index,2021-03-29,MXN,47747.36
MEXBOL Index,2021-03-30,MXN,47905.0
MEXBOL Index,2021-03-31,MXN,47246.26
MEXBOL Index,2021-04-01,MXN,47246.26
MEXBOL Index,2021-04-02,MXN,47246.26
MEXBOL Index,2021-04-03,MXN,47246.26
MEXBOL Index,2021-04-04,MXN,47246.26
MEXBOL Index,2021-04-05,MXN,48245.85
MEXBOL Index,2021-04-06,MXN,47985.43
MEXBOL Index,2021-04-07,MXN,47897.84
MEXBOL Index,2021-04-08,MXN,48188.15
