DATE,USSO10Y Curncy,USSO1Y Curncy,USSO1Z Curncy,USSO2Y Curncy,USSO30Y Curncy,USSO3Z Curncy,USSO5Y Curncy,USSO6Z Curncy
2021-01-25,,,0.07925,,,0.075,,
2021-01-26,,,0.0752,,,0.07775,,
2021-01-27,,,0.075,,,0.073,,
2021-01-28,,,0.0751,,,0.073,,
2021-01-29,,,0.061,,,0.062,,
2021-01-30,,,0.061,,,0.062,,
2021-01-31,,,0.061,,,0.062,,
2021-02-01,,,0.065,,,0.063,,
2021-02-02,,,0.071,,,0.071,,
2021-02-03,,,0.06875,,,0.069,,
2021-02-04,,,0.0635,,,0.063,,
2021-02-05,,,0.0625,,,0.059,,
2021-02-06,,,0.0625,,,0.059,,
2021-02-07,,,0.0625,,,0.059,,
2021-02-08,,,0.066,,,0.066,,
2021-02-09,,,0.0685,,,0.07,,
2021-02-10,,,0.0695,,,0.066,,
2021-02-11,,,0.069,,,0.06525,,
2021-02-12,,,0.068,,,0.065,,
2021-02-13,,,0.068,,,0.065,,
2021-02-14,,,0.068,,,0.065,,
2021-02-15,,,0.07,,,0.07,,
2021-02-16,,,0.065,,,0.06525,,
2021-02-17,,,0.0665,,,0.067,,
2021-02-18,,,0.068,,,0.065,,
2021-02-19,,,0.06555,,,0.061,,
2021-02-20,,,0.06555,,,0.061,,
2021-02-21,,,0.06555,,,0.061,,
2021-02-22,,,0.0675,,,0.067,,
2021-02-23,,,0.0654,,,0.06525,,
2021-02-24,,,0.06465,,,0.06575,,
2021-02-25,,,0.06255,,,0.06775,,
2021-02-26,,,0.07,,,0.069,,
2021-02-27,,,0.07,,,0.069,,
2021-02-28,,,0.07,,,0.069,,
2021-03-01,,,0.07,,,0.069,,
2021-03-02,,,0.07,,,0.069,,
2021-03-03,,,0.07,,,0.068,,
2021-03-04,,,0.07,,,0.069,,
2021-03-05,,,0.0695,,,0.065,,
2021-03-06,,,0.0695,,,0.065,,
2021-03-07,,,0.0695,,,0.065,,
2021-03-08,,,0.07,,,0.068,,
2021-03-09,,,0.07,,,0.06625,,
2021-03-10,,,0.07,,,0.068,,
2021-03-11,,,0.0684,,,0.068,,
2021-03-12,,,0.068,,,0.068,,
2021-03-13,,,0.068,,,0.068,,
2021-03-14,,,0.068,,,0.068,,
2021-03-15,,,0.0677,,,0.067,,
2021-03-16,,,0.07,,,0.072,,
2021-03-17,,,0.0652,,,0.066,,
2021-03-18,,,0.064,,,0.065,,
2021-03-19,,,0.06375,,,0.065,,
2021-03-20,,,0.06375,,,0.065,,
2021-03-21,,,0.06375,,,0.065,,
2021-03-22,,,0.064,,,0.065,,
2021-03-23,,,0.0695,,,0.063,,
2021-03-24,,,0.0695,,,0.063,,
2021-03-25,,,0.0675,,,0.066,,
2021-03-26,,,0.0641,,,0.061,,
2021-03-27,,,0.0641,,,0.061,,
2021-03-28,,,0.0641,,,0.061,,
2021-03-29,,,0.0651,,,0.064,,
2021-03-30,,,0.065,,,0.063,,
2021-03-31,,,0.06255,,,0.064,,
2021-04-01,,,0.062,,,0.062,,
2021-04-02,,,0.0625,,,0.062,,
2021-04-03,,,0.0625,,,0.062,,
2021-04-04,,,0.0625,,,0.062,,
2021-04-05,,,0.0635,,,0.065,,
2021-04-06,,,0.06375,,,0.065,,
2021-04-07,,,0.068,,,0.06575,,
2021-04-08,,,0.066,,,0.068,,
2021-04-09,,,0.065,,,0.065,,
2021-04-10,,,0.065,,,0.065,,
2021-04-11,,,0.065,,,0.065,,
2021-04-12,,,0.0645,,,0.06725,,
2021-04-13,,,0.0652,,,0.07,,
2021-04-14,,,0.06785,,,0.0707,,
2021-04-15,,,0.0685,,,0.07725,,
2021-04-16,,,0.06935,,,0.07725,,
2021-04-17,,,0.06935,,,0.07725,,
2021-04-18,,,0.06935,,,0.07725,,
2021-04-19,,,0.06787,,,0.078,,
2021-04-20,,,0.06805,,,0.078,,
2021-04-21,,,0.0702,,,0.0771,,
2021-04-22,,,0.0743,,,0.0764,,
2021-04-23,,,0.07635,,,0.07675,,
2021-04-24,,,0.07635,,,0.07675,,
2021-04-25,,,0.07635,,,0.07675,,
2021-04-26,,,0.077,,,0.0772,,
2021-04-27,,,0.0775,,,0.07775,,
2021-04-28,,,0.06975,,,0.0699,,
2021-04-29,,,0.07,,,0.069,,
2021-04-30,,,0.07,,,0.07,,
2021-05-01,,,0.07,,,0.07,,
2021-05-02,,,0.07,,,0.07,,
2021-05-03,,,0.074,,,0.071,,
2021-05-04,,,0.07055,,,0.07,,
2021-05-05,,,0.07,,,0.07,,
